prolific_id,rt,response,test_part,trial_type,trial_index,time_elapsed,internal_node_id
sub001,14063.0,{'Q0': 'No'},break,survey-text,0,14070,0.0-0.0
sub001,16537.70000000298,{'Q0': 'No'},break,survey-text,0,16543,0.0-0.0
sub001,23868.599999997765,{'Q0': 'No'},break,survey-text,0,23874,0.0-0.0
sub001,21232.699999999255,{'Q0': 'No'},break,survey-text,0,21238,0.0-0.0
sub001,39326.60000000149,{'Q0': ''},break,survey-text,0,39331,0.0-0.0
sub001,38409.400000002235,{'Q0': ''},break,survey-text,0,38414,0.0-0.0
sub001,6980.60000000149,{'Q0': 'No'},break,survey-text,0,6987,0.0-0.0
sub002,9411.599999997765,{'Q0': 'no'},break,survey-text,0,9416,0.0-0.0
sub002,7081.900000002235,{'Q0': 'no'},break,survey-text,0,7086,0.0-0.0
sub002,5707.10000000149,{'Q0': 'no'},break,survey-text,0,5712,0.0-0.0
sub002,5357.60000000149,{'Q0': 'no'},break,survey-text,0,5362,0.0-0.0
sub002,6534.599999997765,{'Q0': 'no'},break,survey-text,0,6539,0.0-0.0
sub002,6784.10000000149,{'Q0': 'no'},break,survey-text,0,6789,0.0-0.0
sub002,5962.400000002235,{'Q0': 'no'},break,survey-text,0,5967,0.0-0.0
sub003,11461.5,{'Q0': ''},break,survey-text,0,11465,0.0-0.0
sub003,23014.800000071526,{'Q0': ''},break,survey-text,0,23017,0.0-0.0
sub003,28649.799999952316,{'Q0': ''},break,survey-text,0,28656,0.0-0.0
sub003,16079.5,{'Q0': ''},break,survey-text,0,16083,0.0-0.0
sub003,7666.100000023842,{'Q0': ''},break,survey-text,0,7673,0.0-0.0
sub003,6333.599999904633,{'Q0': ''},break,survey-text,0,6339,0.0-0.0
sub003,5153.799999952316,{'Q0': ''},break,survey-text,0,5160,0.0-0.0
sub005,34354.0,{'Q0': 'None'},break,survey-text,0,34357,0.0-0.0
sub005,15529.099999999627,{'Q0': 'None'},break,survey-text,0,15531,0.0-0.0
sub005,9610.900000000373,{'Q0': 'None'},break,survey-text,0,9613,0.0-0.0
sub005,7902.899999999441,{'Q0': 'None'},break,survey-text,0,7906,0.0-0.0
sub005,10385.5,{'Q0': 'None'},break,survey-text,0,10388,0.0-0.0
sub005,7140.4000000003725,{'Q0': 'None'},break,survey-text,0,7143,0.0-0.0
sub005,44611.59999999963,{'Q0': 'No technical difficulties.'},break,survey-text,0,44615,0.0-0.0
sub006,10888.5,{'Q0': 'no'},break,survey-text,0,10895,0.0-0.0
sub006,46353.299999952316,{'Q0': 'no'},break,survey-text,0,46358,0.0-0.0
sub006,702290.4000000954,{'Q0': 'no'},break,survey-text,0,702299,0.0-0.0
sub006,14820.5,{'Q0': 'no'},break,survey-text,0,14824,0.0-0.0
sub006,10789.900000095367,{'Q0': 'No'},break,survey-text,0,10794,0.0-0.0
